,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
91,109x109,11881,8393,2,2,77.0,77,90,(0.09080950694237493+0j),0.09080950694237493,28.831652641296387,8887
92,109x109,11881,7739,2,2,71.0,71,87,(0.09447630713056432+0.022785824721031692j),0.0971852170715603,25.256177186965942,8418
93,109x109,11881,7194,2,2,66.0,66,78,(0.10461317021973413+0j),0.10461317021973413,21.104313611984253,7517
94,109x109,11881,6540,2,2,60.0,60,72,(0.10691549124600833+0.01014757654292836j),0.10739597561393943,17.718457221984863,6928
95,109x109,11881,5995,2,2,55.0,55,66,(0.112588089948176+0.05020938987353696j),0.12327635957332372,15.318558931350708,6412
96,109x109,11881,5450,2,2,50.0,50,62,(0.11208074061245277+0.027756915239273067j),0.11546661318249578,12.389495849609377,5697
97,109x109,11881,4796,2,2,44.0,44,56,(0.1474046187777365+0j),0.1474046187777365,9.986292600631714,5208
98,109x109,11881,4251,2,2,39.0,39,49,(0.1504789624378592+0.05713287435870264j),0.16095988155084465,9.149718284606934,5175
99,109x109,11881,3597,2,2,33.0,33,44,(0.16203967001685926+0j),0.16203967001685926,6.779642581939697,4610
100,10x10,100,80,2,2,8.0,8,9,(0.31180631700964195+0j),0.31180631700964195,0.1235067844390869,3137
101,10x10,100,70,2,2,7.0,7,9,(0.17898678296217307+0.036399521576494676j),0.18265046850787367,0.2063255310058593,4845
102,10x10,100,70,2,2,7.0,7,8,(0.43964389665988957+0j),0.43964389665988957,0.115978717803955,2922
103,10x10,100,70,2,2,7.0,7,8,(0.315775467253995+0j),0.315775467253995,0.100637674331665,2535
104,10x10,100,60,2,2,6.0,6,9,(0.36040034268830057+0j),0.36040034268830057,0.1134083271026611,3156
105,10x10,100,60,2,2,6.0,6,7,(0.3945255991243902+0.006195261708392337j),0.39457423842934114,0.0809540748596191,2356
106,10x10,100,50,3,2,5.0,5,8,(0.45139823519233774+0j),0.45139823519233774,0.1214704513549804,3875
107,10x10,100,40,3,2,4.0,4,6,(0.4987248148767718+0.13706139158118283j),0.5172158795281141,0.0506215095520019,2012
108,10x10,100,40,3,2,4.0,4,7,(0.5562451873925771+0j),0.5562451873925771,0.0506587028503418,1803
109,10x10,100,30,3,3,3.0,3,5,(0.41006754598444545+0j),0.41006754598444545,0.0587115287780761,2258
110,110x110,12100,9130,2,2,83.0,83,96,(0.08158717738461926+0.014026311512066559j),0.08278408620153309,29.555472135543823,8362
111,110x110,12100,8470,2,2,77.0,77,88,(0.08786449298178335+0j),0.08786449298178335,25.37819480895996,7757
112,110x110,12100,7920,2,2,72.0,72,84,(0.08860193546632368+0j),0.08860193546632368,27.245861530303955,8343
113,110x110,12100,7370,2,2,67.0,67,80,(0.09328670015718557+0.012916664503773918j),0.09417668845377661,21.52049994468689,7417
114,110x110,12100,6710,2,2,61.0,61,73,(0.12662445155445093+0j),0.12662445155445093,18.446807384490967,7021
115,110x110,12100,6160,2,2,56.0,56,69,(0.12733790016474056+0j),0.12733790016474056,15.74100923538208,6477
116,110x110,12100,5500,2,2,50.0,50,60,(0.11922592274427177+0.022603462299643898j),0.12134964838084404,12.626792669296265,5725
117,110x110,12100,4840,2,2,44.0,44,56,(0.15269502959716544+0j),0.15269502959716544,10.063457727432253,5213
118,110x110,12100,4290,2,2,39.0,39,55,(0.16080794017024336+0.029916719125242887j),0.16356712293433312,8.963277816772461,5160
119,110x110,12100,3630,2,2,33.0,33,52,(0.16071864108286998+0.05492467582461582j),0.1698446396150421,6.495612621307373,4323
120,111x111,12321,9324,2,2,84.0,84,97,(0.08360351507938427+0j),0.08360351507938427,31.23686671257019,8345
121,111x111,12321,8658,2,2,78.0,78,95,(0.08472661630062306+0.009313181817458164j),0.08523693369260792,28.176374673843384,8448
122,111x111,12321,8103,2,2,73.0,73,85,(0.09084959353452368+0.033088993172746245j),0.0966877971337346,27.96349239349365,8830
123,111x111,12321,7437,2,2,67.0,67,80,(0.10525808258845429+0j),0.10525808258845429,19.4952073097229,6726
124,111x111,12321,6882,2,2,62.0,62,72,(0.1066916970803963+0.0192123664085165j),0.10840771766304343,20.48857378959656,7570
125,111x111,12321,6216,2,2,56.0,56,70,(0.10571927235244497+0.03772404216627086j),0.11224824232072865,14.662635326385498,5962
126,111x111,12321,5550,2,2,50.0,50,59,(0.126487785904208+0.031175521077451328j),0.13027307126723994,13.45510220527649,6133
127,111x111,12321,4995,2,2,45.0,45,55,(0.15372740586183234+0j),0.15372740586183234,10.712063789367676,5351
128,111x111,12321,4329,2,2,39.0,39,53,(0.16998457748024096+0j),0.16998457748024096,8.92725658416748,5100
129,111x111,12321,3774,2,2,34.0,34,46,(0.1541172592528669+0.04981570320700659j),0.161968311362513,7.718634366989136,4689
130,112x112,12544,9408,2,2,84.0,84,94,(0.07618073505546413+0j),0.07618073505546413,33.39048933982849,8924
131,112x112,12544,8848,2,2,79.0,79,89,(0.08762764437805023+0.018127899665462154j),0.08948309787623081,31.264976263046265,9077
132,112x112,12544,8176,2,2,73.0,73,87,(0.09385615871613393+0j),0.09385615871613393,23.410645723342896,7326
133,112x112,12544,7616,2,2,68.0,68,80,(0.10691185839365809+0j),0.10691185839365809,21.985153436660767,7410
134,112x112,12544,6944,2,2,62.0,62,73,(0.10292200356413174+0.021838706977761774j),0.10521343992150284,18.35460090637207,6812
