,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,convergence_speed,convergence_iterations
93,109x109,11881,218,10,7,2.0,3,2,(1.3600675272720377+0.37433382953413397j),0.11598896980285645,795
94,109x109,11881,218,10,8,2.0,3,2,(1.506692501026997+0j),0.11868405342102051,823
95,109x109,11881,218,10,8,2.0,3,2,(1.4392495082929355+0.0561633051468652j),0.11494755744934082,785
96,109x109,11881,217,10,8,1.9908256880733946,3,2,(1.3175223118793034+0.24646323002127624j),0.1259136199951172,839
97,109x109,11881,217,10,8,1.9908256880733946,3,2,(1.303049099456575+0.25458161555423725j),0.11830592155456543,821
98,109x109,11881,216,10,8,1.981651376146789,3,2,(1.2288354983226957+0.17392620662740518j),0.12661027908325195,827
99,109x109,11881,217,10,8,1.9908256880733946,3,2,(1.3795576433979657+0.36868665858276944j),0.11972951889038086,789
100,10x10,100,18,7,3,1.8,3,2,(0.6450679759725825+0.794022534756108j),0.013963699340820312,884
101,10x10,100,19,5,4,1.9,3,2,(0.8774388331233459+0.7448617666197445j),0.011928558349609375,759
102,10x10,100,19,4,3,1.9,3,2,(0.5356161984467638+1.0773232528427248j),0.01695418357849121,963
103,10x10,100,19,5,3,1.9,3,2,(0.8885130783957043+0j),0.014803886413574219,966
104,10x10,100,19,5,3,1.9,3,2,(0.7370534902323995+0.6626476707249682j),0.01592731475830078,1109
105,10x10,100,19,6,4,1.9,3,2,(0.9999999999999997+0j),0.014959335327148438,1024
106,10x10,100,20,5,3,2.0,3,2,(1.2246845330653262+0j),0.01196742057800293,809
107,10x10,100,17,5,4,1.7,2,2,(0.3271147954484823+0.7515813831279259j),0.014862537384033203,946
108,10x10,100,20,4,3,2.0,3,2,(1+0j),0.015956878662109375,1020
109,10x10,100,20,5,4,2.0,3,2,(1.196212762881324+0.6776299000748358j),0.015957117080688477,1026
110,110x110,12100,219,10,8,1.990909090909091,3,2,(1.5164284371232244+0j),0.12988018989562988,843
111,110x110,12100,219,10,8,1.990909090909091,3,2,(1.4338794215484028+0j),0.12822484970092773,817
112,110x110,12100,218,10,8,1.981818181818182,3,2,(1.3058276744597945+0.024673724218058184j),0.12400579452514648,792
113,110x110,12100,218,11,8,1.981818181818182,3,2,(1.3557851393519695+0.17496796872469553j),0.13268208503723145,819
114,110x110,12100,220,10,7,2.0,3,2,(1.3643091844666853+0j),0.12919855117797852,836
