,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle,convergence_speed
82,108x108,11664,7668,2,2,71.0,71.0,71,83,(0.08481043818237695+0j),25.270978450775146
83,108x108,11664,7020,2,2,65.0,65.0,65,78,(0.11525050256178673+0.020910055832389765j),18.76641845703125
84,108x108,11664,6480,2,2,60.0,60.0,60,71,(0.11175400040121494+0j),16.555458068847656
85,108x108,11664,5940,2,2,55.0,55.0,55,70,(0.11341698474306394+0j),16.414348363876343
86,108x108,11664,5292,2,2,49.0,49.0,49,61,(0.1283933573045644+0j),11.946182489395142
87,108x108,11664,4752,2,2,44.0,44.0,44,54,(0.1504621164437425+0.023355633924812862j),10.367956399917603
88,108x108,11664,4104,2,2,38.0,38.0,38,50,(0.15983126915808116+0.055460695864154246j),7.951950311660767
89,108x108,11664,3564,2,2,33.0,33.0,33,44,(0.1669350699576981+0j),6.485703229904175
90,109x109,11881,8938,2,2,82.0,82.0,82,91,(0.07979728107159634+0.020987149343299972j),32.27708196640015
91,109x109,11881,8393,2,2,77.0,77.0,77,90,(0.09080950694237493+0j),28.522037506103516
92,109x109,11881,7739,2,2,71.0,71.0,71,87,(0.09447630713056432+0.022785824721031692j),25.03542709350586
93,109x109,11881,7194,2,2,66.0,66.0,66,78,(0.10461317021973413+0j),20.74713373184204
94,109x109,11881,6540,2,2,60.0,60.0,60,72,(0.10691549124600833+0.01014757654292836j),17.774088382720947
95,109x109,11881,5995,2,2,55.0,55.0,55,66,(0.112588089948176+0.05020938987353696j),15.83872938156128
96,109x109,11881,5450,2,2,50.0,50.0,50,62,(0.11208074061245277+0.027756915239273067j),12.33132004737854
97,109x109,11881,4796,2,2,44.0,44.0,44,56,(0.1474046187777365+0j),9.907487392425537
98,109x109,11881,4251,2,2,39.0,39.0,39,49,(0.1504789624378592+0.05713287435870264j),8.776042938232422
99,109x109,11881,3597,2,2,33.0,33.0,33,44,(0.16203967001685926+0j),6.667755603790283
100,10x10,100,80,2,2,8.0,8.0,8,9,(0.31180631700964195+0j),0.14098334312438965
101,10x10,100,70,2,2,7.0,7.0,7,9,(0.17898678296217307+0.036399521576494676j),0.18987631797790527
102,10x10,100,70,2,2,7.0,7.0,7,8,(0.43964389665988957+0j),0.11140131950378418
103,10x10,100,70,2,2,7.0,7.0,7,8,(0.315775467253995+0j),0.10129547119140625
104,10x10,100,60,2,2,6.0,6.0,6,9,(0.36040034268830057+0j),0.11931300163269043
105,10x10,100,60,2,2,6.0,6.0,6,7,(0.3945255991243902+0.006195261708392337j),0.08117032051086426
106,10x10,100,50,3,2,5.0,5.0,5,8,(0.45139823519233774+0j),0.12142801284790039
107,10x10,100,40,3,2,4.0,4.0,4,6,(0.4987248148767718+0.13706139158118283j),0.052623748779296875
108,10x10,100,40,3,2,4.0,4.0,4,7,(0.5562451873925771+0j),0.05057692527770996
109,10x10,100,30,3,3,3.0,3.0,3,5,(0.41006754598444545+0j),0.06438636779785156
110,110x110,12100,9130,2,2,83.0,83.0,83,96,(0.08158717738461926+0.014026311512066559j),29.260376691818237
111,110x110,12100,8470,2,2,77.0,77.0,77,88,(0.08786449298178335+0j),25.18815279006958
112,110x110,12100,7920,2,2,72.0,72.0,72,84,(0.08860193546632368+0j),25.288468599319458
113,110x110,12100,7370,2,2,67.0,67.0,67,80,(0.09328670015718557+0.012916664503773918j),20.96725845336914
114,110x110,12100,6710,2,2,61.0,61.0,61,73,(0.12662445155445093+0j),17.961193084716797
115,110x110,12100,6160,2,2,56.0,56.0,56,69,(0.12733790016474056+0j),15.37034273147583
116,110x110,12100,5500,2,2,50.0,50.0,50,60,(0.11922592274427177+0.022603462299643898j),12.286309003829956
117,110x110,12100,4840,2,2,44.0,44.0,44,56,(0.15269502959716544+0j),9.866857767105103
118,110x110,12100,4290,2,2,39.0,39.0,39,55,(0.16080794017024336+0.029916719125242887j),8.805856943130493
119,110x110,12100,3630,2,2,33.0,33.0,33,52,(0.16071864108286998+0.05492467582461582j),6.307467222213745
120,111x111,12321,9324,2,2,84.0,84.0,84,97,(0.08360351507938427+0j),30.695643186569214
121,111x111,12321,8658,2,2,78.0,78.0,78,95,(0.08472661630062306+0.009313181817458164j),27.845736265182495
122,111x111,12321,8103,2,2,73.0,73.0,73,85,(0.09084959353452368+0.033088993172746245j),27.292814016342163
123,111x111,12321,7437,2,2,67.0,67.0,67,80,(0.10525808258845429+0j),19.084943532943726
124,111x111,12321,6882,2,2,62.0,62.0,62,72,(0.1066916970803963+0.0192123664085165j),20.020615339279175
125,111x111,12321,6216,2,2,56.0,56.0,56,70,(0.10571927235244497+0.03772404216627086j),15.412613153457642
126,111x111,12321,5550,2,2,50.0,50.0,50,59,(0.126487785904208+0.031175521077451328j),13.381484508514404
127,111x111,12321,4995,2,2,45.0,45.0,45,55,(0.15372740586183234+0j),10.60792350769043
128,111x111,12321,4329,2,2,39.0,39.0,39,53,(0.16998457748024096+0j),8.789861679077148
129,111x111,12321,3774,2,2,34.0,34.0,34,46,(0.1541172592528669+0.04981570320700659j),7.146159648895264
130,112x112,12544,9408,2,2,84.0,84.0,84,94,(0.07618073505546413+0j),31.688496351242065
131,112x112,12544,8848,2,2,79.0,79.0,79,89,(0.08762764437805023+0.018127899665462154j),30.542294025421143
132,112x112,12544,8176,2,2,73.0,73.0,73,87,(0.09385615871613393+0j),22.81047773361206
133,112x112,12544,7616,2,2,68.0,68.0,68,80,(0.10691185839365809+0j),21.559102296829224
134,112x112,12544,6944,2,2,62.0,62.0,62,73,(0.10292200356413174+0.021838706977761774j),18.326801538467407
135,112x112,12544,6384,2,2,57.0,57.0,57,68,(0.11920041824507543+0.0037900576170319784j),16.286978244781494
136,112x112,12544,5712,2,2,51.0,51.0,51,65,(0.1339451124184187+0.02964451632454427j),13.623517274856567
137,112x112,12544,5040,2,2,45.0,45.0,45,59,(0.13185203307970095+0.006630101439959552j),10.741168022155762
138,112x112,12544,4480,2,2,40.0,40.0,40,55,(0.1461938790766681+0.040985737639769954j),9.453686237335205
139,112x112,12544,3808,2,2,34.0,34.0,34,49,(0.1833127449166955+0j),7.011709213256836
140,113x113,12769,9605,2,2,85.0,85.0,85,97,(0.08041634406276948+0j),33.36538648605347
141,113x113,12769,9040,2,2,80.0,80.0,80,92,(0.0839440172646736+0.006168580219041585j),28.39681649208069
142,113x113,12769,8362,2,2,74.0,74.0,74,85,(0.095025870738703+0j),27.63891887664795
143,113x113,12769,7684,2,2,68.0,68.0,68,80,(0.10076710274525753+0.01423506807872077j),22.76865029335022
144,113x113,12769,7119,2,2,63.0,63.0,63,78,(0.11148455670169839+0j),18.679349184036255
145,113x113,12769,6441,2,2,57.0,57.0,57,71,(0.116811668726935+0j),16.584821939468384
146,113x113,12769,5763,2,2,51.0,51.0,51,64,(0.1278826669398793+0j),12.319857120513916
147,113x113,12769,5198,2,2,46.0,46.0,46,61,(0.1293186623978706+0.01718161017425139j),11.613976240158081
148,113x113,12769,4520,2,2,40.0,40.0,40,50,(0.15991276671206633+0.01510469876569216j),7.6793036460876465
149,113x113,12769,3842,3,2,34.0,34.0,34,48,(0.18143853380720745+0j),6.826202392578125
150,114x114,12996,9804,2,2,86.0,86.0,86,99,(0.07371667430902483+0j),31.99349808692932
151,114x114,12996,9120,2,2,80.0,80.0,80,91,(0.09048250235193407+0j),32.08357882499695
152,114x114,12996,8550,2,2,75.0,75.0,75,86,(0.09058672683365816+0j),26.180551767349243
153,114x114,12996,7866,2,2,69.0,69.0,69,81,(0.09284837715925746+0.04070355716736843j),23.135087251663208
154,114x114,12996,7182,2,2,63.0,63.0,63,73,(0.1128836329946788+0.026098780432496513j),16.657768487930298
155,114x114,12996,6612,2,2,58.0,58.0,58,72,(0.11412127797648816+0.021627046418324122j),17.156718254089355
156,114x114,12996,5928,2,2,52.0,52.0,52,64,(0.13483556228686205+0j),13.796808004379272
157,114x114,12996,5244,2,2,46.0,46.0,46,61,(0.1269493017368995+0.03151847401854997j),11.498372554779053
158,114x114,12996,4560,2,2,40.0,40.0,40,52,(0.15405724009145885+0j),10.33038878440857
159,114x114,12996,3990,2,2,35.0,35.0,35,54,(0.1743869986621166+0.028095386369600153j),7.539481163024902
160,115x115,13225,10005,2,2,87.0,87.0,87,101,(0.07433278475517696+0.006752062751210896j),37.78363227844238
161,115x115,13225,9315,2,2,81.0,81.0,81,93,(0.08533371001692361+0.024478333412589214j),28.363447904586792
162,115x115,13225,8625,2,2,75.0,75.0,75,85,(0.08902944796087023+0.01318917457707233j),27.730688333511353
163,115x115,13225,8050,2,2,70.0,70.0,70,84,(0.10058386207093864+0j),24.386688232421875
164,115x115,13225,7360,2,2,64.0,64.0,64,78,(0.10610267728902484+0.014442741280455059j),18.89015769958496
165,115x115,13225,6670,2,2,58.0,58.0,58,70,(0.134323246673075+0j),15.785971879959106
166,115x115,13225,5980,2,2,52.0,52.0,52,69,(0.13033536473210797+0j),15.032995462417603
167,115x115,13225,5290,2,2,46.0,46.0,46,58,(0.12682623205179291+0.008438995430337246j),11.715466737747192
168,115x115,13225,4715,2,2,41.0,41.0,41,58,(0.154504654170371+0j),10.028536558151245
169,115x115,13225,4025,2,2,35.0,35.0,35,46,(0.17540800880868962+0j),7.941533327102661
170,116x116,13456,10092,2,2,87.0,87.0,87,98,(0.08196552831320743+0j),36.29154586791992
171,116x116,13456,9512,2,2,82.0,82.0,82,92,(0.08276975219757904+0j),30.288944244384766
172,116x116,13456,8816,2,2,76.0,76.0,76,88,(0.09471381065177492+0.00409316799123106j),25.134941339492798
173,116x116,13456,8120,2,2,70.0,70.0,70,81,(0.09643758039365236+0j),23.321120262145996
174,116x116,13456,7424,2,2,64.0,64.0,64,84,(0.1076077559614254+0j),19.795653104782104
175,116x116,13456,6844,2,2,59.0,59.0,59,72,(0.11253462448413536+0j),18.544744968414307
176,116x116,13456,6148,2,2,53.0,53.0,53,65,(0.1267063079891836+0.01036728709615089j),12.59594988822937
177,116x116,13456,5452,2,2,47.0,47.0,47,60,(0.1400892485226249+0.047131276843044016j),12.087219715118408
178,116x116,13456,4756,2,2,41.0,41.0,41,53,(0.1500027283294132+0.019134584506646152j),9.254663705825806
179,116x116,13456,4060,2,2,35.0,35.0,35,51,(0.17307118757113413+0.027581036176636414j),7.0773420333862305
180,117x117,13689,10296,2,2,88.0,88.0,88,98,(0.0876243122771368+0j),35.01664710044861
181,117x117,13689,9594,2,2,82.0,82.0,82,99,(0.09755810889644934+0j),30.928796768188477
182,117x117,13689,9009,2,2,77.0,77.0,77,92,(0.08762425663469309+0.035541604631901806j),29.359073877334595
183,117x117,13689,8307,2,2,71.0,71.0,71,89,(0.09442723908091742+0j),24.288942575454712
184,117x117,13689,7605,2,2,65.0,65.0,65,77,(0.11077659970994161+0j),20.969245672225952
185,117x117,13689,6903,2,2,59.0,59.0,59,75,(0.12713364434412824+0j),19.06338357925415
186,117x117,13689,6201,2,2,53.0,53.0,53,68,(0.13635404892236022+0j),14.677039861679077
187,117x117,13689,5499,2,2,47.0,47.0,47,61,(0.12514216388447982+0.039057165217343745j),12.616999626159668
188,117x117,13689,4797,2,2,41.0,41.0,41,55,(0.15068497685399956+0j),9.178257465362549
189,117x117,13689,4212,2,2,36.0,36.0,36,50,(0.16480948107703858+0j),8.206361770629883
190,118x118,13924,10502,2,2,89.0,89.0,89,103,(0.0812167956770916+0.014223440960297568j),37.08072853088379
191,118x118,13924,9794,2,2,83.0,83.0,83,95,(0.08659988671784025+0.02154870353611874j),32.494550466537476
192,118x118,13924,9086,2,2,77.0,77.0,77,91,(0.09229436035012267+0.009614834423025768j),30.401714324951172
193,118x118,13924,8378,2,2,71.0,71.0,71,84,(0.09044069270520902+0.03818170827710687j),23.7061767578125
194,118x118,13924,7670,2,2,65.0,65.0,65,79,(0.11822769485980894+0j),20.48536777496338
195,118x118,13924,7080,2,2,60.0,60.0,60,75,(0.10067730666258043+0.025667189079339212j),16.775804042816162
196,118x118,13924,6372,2,2,54.0,54.0,54,66,(0.12961519046729894+0j),15.195734739303589
197,118x118,13924,5664,2,2,48.0,48.0,48,62,(0.13755633015210833+0.02258558869125111j),11.53551959991455
198,118x118,13924,4956,2,2,42.0,42.0,42,55,(0.1460914084413079+0.015229243135948343j),9.617150783538818
199,118x118,13924,4248,2,2,36.0,36.0,36,52,(0.1787255804606224+0.017983601298794026j),8.174664974212646
200,119x119,14161,10710,2,2,90.0,90.0,90,102,(0.07704971957205067+0.021857780488097507j),40.47995853424072
201,119x119,14161,9996,2,2,84.0,84.0,84,98,(0.08139944918783086+0j),35.52559566497803
202,119x119,14161,9282,2,2,78.0,78.0,78,90,(0.10790685208342823+0j),29.063039779663086
203,119x119,14161,8568,2,2,72.0,72.0,72,84,(0.10229963445114154+0j),22.272583961486816
204,119x119,14161,7854,2,2,66.0,66.0,66,77,(0.1051679882266979+0.017385429007195773j),22.53977918624878
205,119x119,14161,7140,2,2,60.0,60.0,60,75,(0.12577982916216915+0j),18.676374435424805
206,119x119,14161,6426,2,2,54.0,54.0,54,71,(0.1112256021747306+0.01676756667485185j),16.843092918395996
207,119x119,14161,5712,2,2,48.0,48.0,48,60,(0.154818074174409+0j),13.687543392181396
208,119x119,14161,4998,2,2,42.0,42.0,42,57,(0.15850136310116558+0j),10.579374313354492
209,119x119,14161,4284,2,2,36.0,36.0,36,50,(0.16587048645075497+0.06153033116559078j),7.727002859115601
210,11x11,121,99,2,2,9.0,9.0,9,11,(0.1757809758449466+0j),0.14278888702392578
211,11x11,121,88,2,2,8.0,8.0,8,10,(0.25802644210481607+0j),0.1817936897277832
212,11x11,121,88,2,2,8.0,8.0,8,10,(0.24916116446573014+0j),0.1412506103515625
213,11x11,121,77,2,2,7.0,7.0,7,10,(0.17865556729917584+0.06571607345816154j),0.1719367504119873
214,11x11,121,77,2,2,7.0,7.0,7,9,(0.23593401727009156+0j),0.10110831260681152
215,11x11,121,66,2,2,6.0,6.0,6,9,(0.30044259017305464+0.16386119231364657j),0.07077169418334961
216,11x11,121,55,3,2,5.0,5.0,5,8,(0.30477132740249857+0.04716672460066807j),0.07088351249694824
217,11x11,121,55,3,2,5.0,5.0,5,9,(0.4609617692660283+0j),0.07295036315917969
218,11x11,121,44,3,2,4.0,4.0,4,5,(0.33547268650212925+0.03476855442613011j),0.05251789093017578
219,11x11,121,44,4,2,4.0,4.0,4,8,(0.36949779978311564+0j),0.0627293586730957
220,120x120,14400,10800,2,2,90.0,90.0,90,102,(0.07315832428593276+0j),32.83374261856079
221,120x120,14400,10080,2,2,84.0,84.0,84,96,(0.08486628722968936+0j),31.37413001060486
222,120x120,14400,9360,2,2,78.0,78.0,78,93,(0.08548097161704755+0j),31.81533455848694
223,120x120,14400,8760,2,2,73.0,73.0,73,86,(0.10402612462497131+0j),25.457862377166748
224,120x120,14400,8040,2,2,67.0,67.0,67,83,(0.10765887332747359+0.010366240997901264j),22.911001205444336
225,120x120,14400,7320,2,2,61.0,61.0,61,75,(0.11540707798201955+0.020534749631461343j),16.731856107711792
