,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
134,112x112,12544,221,14,9,1.9732142857142858,2,6,(0.7321297608698387+0.2550424946233361j),0.7752810205435328,0.00946950912475586,44
135,112x112,12544,222,12,9,1.9821428571428572,2,5,(0.6979267498067676+0.015117375018796859j),0.698090454828955,0.008071422576904297,43
136,112x112,12544,224,12,9,2.0,2,6,(0.6580121978640455+0.2476469218877054j),0.7030711560420659,0.008369922637939453,44
137,112x112,12544,224,14,9,2.0,2,6,(0.7262707517407971+0j),0.7262707517407971,0.009115219116210938,49
138,112x112,12544,222,15,9,1.9821428571428572,2,5,(0.8184189511584001+0j),0.8184189511584001,0.007243156433105469,43
139,112x112,12544,224,12,9,2.0,2,5,(0.7827993633044308+0.037594264941132265j),0.7837015834782307,0.007501840591430664,43
140,113x113,12769,549,6,4,4.8584070796460175,5,10,(0.48875955188437603+0j),0.48875955188437603,0.0055141448974609375,17
141,113x113,12769,557,5,4,4.929203539823009,5,10,(0.5000926347918986+0j),0.5000926347918986,0.0050737857818603516,17
142,113x113,12769,559,6,4,4.946902654867257,5,11,(0.45758812886705846+0.09265114662026185j),0.4668737844965221,0.004530191421508789,17
143,113x113,12769,557,6,4,4.929203539823009,5,12,(0.5302363160945667+0j),0.5302363160945667,0.004739522933959961,17
144,113x113,12769,556,5,4,4.920353982300885,5,9,(0.48518914869985597+0.13485750971033772j),0.5035822256011075,0.0079498291015625,18
145,113x113,12769,554,6,4,4.902654867256637,5,11,(0.5908348024355772+0j),0.5908348024355772,0.0070378780364990234,19
146,113x113,12769,555,6,4,4.911504424778761,5,13,(0.5394023603829269+0j),0.5394023603829269,0.005017518997192383,17
147,113x113,12769,559,6,4,4.946902654867257,5,10,(0.49533667203359044+0j),0.49533667203359044,0.00501251220703125,16
148,113x113,12769,553,5,4,4.893805309734513,5,10,(0.5058470986970539+0j),0.5058470986970539,0.004513263702392578,16
149,113x113,12769,558,5,4,4.938053097345133,5,11,(0.45421941035444247+0.15183507808887456j),0.4789250084104943,0.004506826400756836,16
150,114x114,12996,888,4,3,7.7894736842105265,8,16,(0.417106630131566+0j),0.417106630131566,0.005913972854614258,13
151,114x114,12996,886,5,3,7.771929824561403,8,13,(0.40338439937824266+0.03559085701445505j),0.4049514572942897,0.005795717239379883,13
152,114x114,12996,888,4,3,7.7894736842105265,8,15,(0.393116392296379+0.03559211329855451j),0.3947243296544789,0.005859851837158203,13
153,114x114,12996,880,4,3,7.719298245614035,8,13,(0.37758718714928313+0.03751100296385353j),0.3794458581176793,0.00450587272644043,12
154,114x114,12996,891,5,3,7.815789473684211,8,16,(0.36990476216441015+0j),0.36990476216441015,0.00603795051574707,13
155,114x114,12996,883,4,3,7.745614035087719,8,16,(0.4481419360924288+0j),0.4481419360924288,0.005869150161743164,13
156,114x114,12996,888,4,3,7.7894736842105265,8,14,(0.3754079107025228+0.09953782302926882j),0.38837981105026476,0.006037712097167969,13
157,114x114,12996,892,4,3,7.824561403508772,8,14,(0.3999056483026067+0j),0.3999056483026067,0.005728960037231445,12
158,114x114,12996,885,4,3,7.7631578947368425,8,14,(0.384997376076272+0j),0.384997376076272,0.008593082427978516,13
159,114x114,12996,877,5,3,7.692982456140351,8,16,(0.3924128390091862+0.09049306306600544j),0.40271184571889307,0.00649714469909668,13
160,115x115,13225,229,13,9,1.991304347826087,2,5,(0.8628285643450836+0j),0.8628285643450836,0.013185501098632812,63
161,115x115,13225,229,13,9,1.991304347826087,2,6,(0.7299775542482946+0j),0.7299775542482946,0.009258508682250977,44
162,115x115,13225,229,13,9,1.991304347826087,2,5,(0.8524616139970943+0j),0.8524616139970943,0.01104593276977539,57
163,115x115,13225,229,14,9,1.991304347826087,2,5,(0.8122373857530406+0j),0.8122373857530406,0.011247634887695312,57
164,115x115,13225,229,13,9,1.991304347826087,2,5,(0.6922549433612272+0.017121368486971544j),0.6924666402556318,0.007825851440429688,44
165,115x115,13225,229,15,9,1.991304347826087,2,5,(0.9194096323050714+0j),0.9194096323050714,0.014010906219482422,90
166,115x115,13225,230,12,9,2.0,2,5,(0.8010423033485251+0j),0.8010423033485251,0.007735013961791992,50
167,115x115,13225,227,16,9,1.9739130434782608,2,7,(0.854160087735524+0.008707731178369097j),0.8542044720455594,0.008544683456420898,57
