,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle
110,110x110,12100,3054,3,2,27.763636363636362,27.763636363636362,28,41,(0.19112489572975888+0.004958993952369812j)
111,110x110,12100,3042,2,2,27.654545454545456,27.654545454545456,28,39,(0.20867983620159591+0j)
112,110x110,12100,3050,3,2,27.727272727272727,27.727272727272727,28,39,(0.2078398224931562+0.043080834364647394j)
113,110x110,12100,3056,3,2,27.78181818181818,27.78181818181818,28,38,(0.19190676741644558+0.028926682090762507j)
114,110x110,12100,3049,3,2,27.71818181818182,27.71818181818182,28,38,(0.19071764400449423+0j)
115,110x110,12100,3052,3,2,27.745454545454546,27.745454545454546,28,40,(0.18090180885705945+0j)
116,110x110,12100,3048,3,2,27.70909090909091,27.70909090909091,28,39,(0.19592706345726937+0j)
117,110x110,12100,3059,3,2,27.80909090909091,27.80909090909091,28,38,(0.1907929767253533+0.07794406602341605j)
118,110x110,12100,3050,3,2,27.727272727272727,27.727272727272727,28,42,(0.19172128666787597+0j)
119,110x110,12100,3047,3,2,27.7,27.7,28,42,(0.18477860975483304+0.05278666718932596j)
120,111x111,12321,3079,3,2,27.73873873873874,27.73873873873874,28,38,(0.2039237011276812+0j)
121,111x111,12321,3066,3,2,27.62162162162162,27.62162162162162,28,39,(0.18980045597044864+0.021672561035387193j)
122,111x111,12321,3066,3,2,27.62162162162162,27.62162162162162,28,39,(0.19290224509900206+0j)
123,111x111,12321,3086,2,2,27.8018018018018,27.8018018018018,28,39,(0.1915287248130082+0.04175884179496708j)
124,111x111,12321,3072,3,2,27.675675675675677,27.675675675675677,28,38,(0.2272546882998128+0j)
125,111x111,12321,3077,3,2,27.72072072072072,27.72072072072072,28,40,(0.17553753391411592+0.020461535444140876j)
126,111x111,12321,3078,3,2,27.72972972972973,27.72972972972973,28,40,(0.17409254845035066+0.05037180659455777j)
127,111x111,12321,3071,3,2,27.666666666666668,27.666666666666668,28,40,(0.18873837857874431+0.042807407911718276j)
128,111x111,12321,3081,3,2,27.756756756756758,27.756756756756758,28,36,(0.17693911131902382+0.019900725608869123j)
129,111x111,12321,3077,3,2,27.72072072072072,27.72072072072072,28,40,(0.1808511699813138+0.027479201768446437j)
130,112x112,12544,3100,3,2,27.678571428571427,27.678571428571427,28,37,(0.19465687173062818+0j)
131,112x112,12544,3103,3,2,27.705357142857142,27.705357142857142,28,39,(0.20275626505981276+0.05872115595735794j)
132,112x112,12544,3101,3,2,27.6875,27.6875,28,41,(0.19303835718610607+0.05933140810678743j)
133,112x112,12544,3105,3,2,27.723214285714285,27.723214285714285,28,39,(0.1886744500215542+0.014145332464164603j)
134,112x112,12544,3108,3,2,27.75,27.75,28,37,(0.18487020858708164+0.021896935254581876j)
135,112x112,12544,3098,3,2,27.660714285714285,27.660714285714285,28,37,(0.1888237512061005+0.022822938471392856j)
136,112x112,12544,3104,3,2,27.714285714285715,27.714285714285715,28,39,(0.19658531212275698+0j)
137,112x112,12544,3108,3,2,27.75,27.75,28,40,(0.2384643983316507+0j)
138,112x112,12544,3111,3,2,27.776785714285715,27.776785714285715,28,43,(0.20268035738328788+0j)
