,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle
139,112x112,12544,3808,2,2,34.0,34.0,34,49,(0.1833127449166955+0j)
140,113x113,12769,9605,2,2,85.0,85.0,85,97,(0.08041634406276948+0j)
141,113x113,12769,9040,2,2,80.0,80.0,80,92,(0.0839440172646736+0.006168580219041585j)
142,113x113,12769,8362,2,2,74.0,74.0,74,85,(0.095025870738703+0j)
143,113x113,12769,7684,2,2,68.0,68.0,68,80,(0.10076710274525753+0.01423506807872077j)
144,113x113,12769,7119,2,2,63.0,63.0,63,78,(0.11148455670169839+0j)
145,113x113,12769,6441,2,2,57.0,57.0,57,71,(0.116811668726935+0j)
146,113x113,12769,5763,2,2,51.0,51.0,51,64,(0.1278826669398793+0j)
147,113x113,12769,5198,2,2,46.0,46.0,46,61,(0.1293186623978706+0.01718161017425139j)
148,113x113,12769,4520,2,2,40.0,40.0,40,50,(0.15991276671206633+0.01510469876569216j)
149,113x113,12769,3842,3,2,34.0,34.0,34,48,(0.18143853380720745+0j)
150,114x114,12996,9804,2,2,86.0,86.0,86,99,(0.07371667430902483+0j)
151,114x114,12996,9120,2,2,80.0,80.0,80,91,(0.09048250235193407+0j)
152,114x114,12996,8550,2,2,75.0,75.0,75,86,(0.09058672683365816+0j)
153,114x114,12996,7866,2,2,69.0,69.0,69,81,(0.09284837715925746+0.04070355716736843j)
154,114x114,12996,7182,2,2,63.0,63.0,63,73,(0.1128836329946788+0.026098780432496513j)
155,114x114,12996,6612,2,2,58.0,58.0,58,72,(0.11412127797648816+0.021627046418324122j)
156,114x114,12996,5928,2,2,52.0,52.0,52,64,(0.13483556228686205+0j)
157,114x114,12996,5244,2,2,46.0,46.0,46,61,(0.1269493017368995+0.03151847401854997j)
158,114x114,12996,4560,2,2,40.0,40.0,40,52,(0.15405724009145885+0j)
159,114x114,12996,3990,2,2,35.0,35.0,35,54,(0.1743869986621166+0.028095386369600153j)
160,115x115,13225,10005,2,2,87.0,87.0,87,101,(0.07433278475517696+0.006752062751210896j)
161,115x115,13225,9315,2,2,81.0,81.0,81,93,(0.08533371001692361+0.024478333412589214j)
162,115x115,13225,8625,2,2,75.0,75.0,75,85,(0.08902944796087023+0.01318917457707233j)
163,115x115,13225,8050,2,2,70.0,70.0,70,84,(0.10058386207093864+0j)
164,115x115,13225,7360,2,2,64.0,64.0,64,78,(0.10610267728902484+0.014442741280455059j)
165,115x115,13225,6670,2,2,58.0,58.0,58,70,(0.134323246673075+0j)
166,115x115,13225,5980,2,2,52.0,52.0,52,69,(0.13033536473210797+0j)
167,115x115,13225,5290,2,2,46.0,46.0,46,58,(0.12682623205179291+0.008438995430337246j)
168,115x115,13225,4715,2,2,41.0,41.0,41,58,(0.154504654170371+0j)
169,115x115,13225,4025,2,2,35.0,35.0,35,46,(0.17540800880868962+0j)
170,116x116,13456,10092,2,2,87.0,87.0,87,98,(0.08196552831320743+0j)
171,116x116,13456,9512,2,2,82.0,82.0,82,92,(0.08276975219757904+0j)
172,116x116,13456,8816,2,2,76.0,76.0,76,88,(0.09471381065177492+0.00409316799123106j)
173,116x116,13456,8120,2,2,70.0,70.0,70,81,(0.09643758039365236+0j)
174,116x116,13456,7424,2,2,64.0,64.0,64,84,(0.1076077559614254+0j)
175,116x116,13456,6844,2,2,59.0,59.0,59,72,(0.11253462448413536+0j)
176,116x116,13456,6148,2,2,53.0,53.0,53,65,(0.1267063079891836+0.01036728709615089j)
177,116x116,13456,5452,2,2,47.0,47.0,47,60,(0.1400892485226249+0.047131276843044016j)
178,116x116,13456,4756,2,2,41.0,41.0,41,53,(0.1500027283294132+0.019134584506646152j)
179,116x116,13456,4060,2,2,35.0,35.0,35,51,(0.17307118757113413+0.027581036176636414j)
180,117x117,13689,10296,2,2,88.0,88.0,88,98,(0.0876243122771368+0j)
181,117x117,13689,9594,2,2,82.0,82.0,82,99,(0.09755810889644934+0j)
182,117x117,13689,9009,2,2,77.0,77.0,77,92,(0.08762425663469309+0.035541604631901806j)
183,117x117,13689,8307,2,2,71.0,71.0,71,89,(0.09442723908091742+0j)
184,117x117,13689,7605,2,2,65.0,65.0,65,77,(0.11077659970994161+0j)
185,117x117,13689,6903,2,2,59.0,59.0,59,75,(0.12713364434412824+0j)
186,117x117,13689,6201,2,2,53.0,53.0,53,68,(0.13635404892236022+0j)
187,117x117,13689,5499,2,2,47.0,47.0,47,61,(0.12514216388447982+0.039057165217343745j)
188,117x117,13689,4797,2,2,41.0,41.0,41,55,(0.15068497685399956+0j)
189,117x117,13689,4212,2,2,36.0,36.0,36,50,(0.16480948107703858+0j)
190,118x118,13924,10502,2,2,89.0,89.0,89,103,(0.0812167956770916+0.014223440960297568j)
191,118x118,13924,9794,2,2,83.0,83.0,83,95,(0.08659988671784025+0.02154870353611874j)
192,118x118,13924,9086,2,2,77.0,77.0,77,91,(0.09229436035012267+0.009614834423025768j)
193,118x118,13924,8378,2,2,71.0,71.0,71,84,(0.09044069270520902+0.03818170827710687j)
194,118x118,13924,7670,2,2,65.0,65.0,65,79,(0.11822769485980894+0j)
195,118x118,13924,7080,2,2,60.0,60.0,60,75,(0.10067730666258043+0.025667189079339212j)
196,118x118,13924,6372,2,2,54.0,54.0,54,66,(0.12961519046729894+0j)
197,118x118,13924,5664,2,2,48.0,48.0,48,62,(0.13755633015210833+0.02258558869125111j)
198,118x118,13924,4956,2,2,42.0,42.0,42,55,(0.1460914084413079+0.015229243135948343j)
199,118x118,13924,4248,2,2,36.0,36.0,36,52,(0.1787255804606224+0.017983601298794026j)
200,119x119,14161,10710,2,2,90.0,90.0,90,102,(0.07704971957205067+0.021857780488097507j)
201,119x119,14161,9996,2,2,84.0,84.0,84,98,(0.08139944918783086+0j)
202,119x119,14161,9282,2,2,78.0,78.0,78,90,(0.10790685208342823+0j)
203,119x119,14161,8568,2,2,72.0,72.0,72,84,(0.10229963445114154+0j)
204,119x119,14161,7854,2,2,66.0,66.0,66,77,(0.1051679882266979+0.017385429007195773j)
205,119x119,14161,7140,2,2,60.0,60.0,60,75,(0.12577982916216915+0j)
206,119x119,14161,6426,2,2,54.0,54.0,54,71,(0.1112256021747306+0.01676756667485185j)
207,119x119,14161,5712,2,2,48.0,48.0,48,60,(0.154818074174409+0j)
208,119x119,14161,4998,2,2,42.0,42.0,42,57,(0.15850136310116558+0j)
209,119x119,14161,4284,2,2,36.0,36.0,36,50,(0.16587048645075497+0.06153033116559078j)
210,11x11,121,99,2,2,9.0,9.0,9,11,(0.1757809758449466+0j)
211,11x11,121,88,2,2,8.0,8.0,8,10,(0.25802644210481607+0j)
212,11x11,121,88,2,2,8.0,8.0,8,10,(0.24916116446573014+0j)
213,11x11,121,77,2,2,7.0,7.0,7,10,(0.17865556729917584+0.06571607345816154j)
214,11x11,121,77,2,2,7.0,7.0,7,9,(0.23593401727009156+0j)
215,11x11,121,66,2,2,6.0,6.0,6,9,(0.30044259017305464+0.16386119231364657j)
216,11x11,121,55,3,2,5.0,5.0,5,8,(0.30477132740249857+0.04716672460066807j)
217,11x11,121,55,3,2,5.0,5.0,5,9,(0.4609617692660283+0j)
218,11x11,121,44,3,2,4.0,4.0,4,5,(0.33547268650212925+0.03476855442613011j)
219,11x11,121,44,4,2,4.0,4.0,4,8,(0.36949779978311564+0j)
220,120x120,14400,10800,2,2,90.0,90.0,90,102,(0.07315832428593276+0j)
221,120x120,14400,10080,2,2,84.0,84.0,84,96,(0.08486628722968936+0j)
222,120x120,14400,9360,2,2,78.0,78.0,78,93,(0.08548097161704755+0j)
223,120x120,14400,8760,2,2,73.0,73.0,73,86,(0.10402612462497131+0j)
224,120x120,14400,8040,2,2,67.0,67.0,67,83,(0.10765887332747359+0.010366240997901264j)
225,120x120,14400,7320,2,2,61.0,61.0,61,75,(0.11540707798201955+0.020534749631461343j)
226,120x120,14400,6600,2,2,55.0,55.0,55,66,(0.11427297086407034+0.01778359481035173j)
227,120x120,14400,5760,2,2,48.0,48.0,48,62,(0.16879927786397342+0j)
228,120x120,14400,5040,2,2,42.0,42.0,42,57,(0.14716414435674297+0j)
229,120x120,14400,4320,2,2,36.0,36.0,36,49,(0.1864384325036357+0j)
230,121x121,14641,11011,2,2,91.0,91.0,91,102,(0.07314363939875003+0j)
231,121x121,14641,10285,2,2,85.0,85.0,85,96,(0.07895528032535486+0.02424782551437437j)
232,121x121,14641,9559,2,2,79.0,79.0,79,95,(0.08864499818767685+0.007301939876707919j)
233,121x121,14641,8833,2,2,73.0,73.0,73,88,(0.09962804116410696+0j)
234,121x121,14641,8107,2,2,67.0,67.0,67,82,(0.097464802908723+0.02347236637825728j)
235,121x121,14641,7381,2,2,61.0,61.0,61,72,(0.13070858698132368+0j)
236,121x121,14641,6655,2,2,55.0,55.0,55,75,(0.12024449542192403+0j)
237,121x121,14641,5929,2,2,49.0,49.0,49,62,(0.1284377677735134+0j)
238,121x121,14641,5203,2,2,43.0,43.0,43,58,(0.13353257373083477+0.06768698910357288j)
239,121x121,14641,4477,2,2,37.0,37.0,37,51,(0.13922966151737007+0.06860058732792451j)
240,122x122,14884,11224,2,2,92.0,92.0,92,105,(0.07683067192536723+0.014417241649994196j)
241,122x122,14884,10492,2,2,86.0,86.0,86,96,(0.0843459741890658+0.0037559641482314814j)
242,122x122,14884,9760,2,2,80.0,80.0,80,94,(0.08727790210066233+0.0034391336999337004j)
243,122x122,14884,9028,2,2,74.0,74.0,74,91,(0.08690735573095831+0.044288358992341056j)
244,122x122,14884,8296,2,2,68.0,68.0,68,80,(0.10695070099767087+0j)
245,122x122,14884,7564,2,2,62.0,62.0,62,78,(0.11481680304530467+0.01428270067996986j)
246,122x122,14884,6710,2,2,55.0,55.0,55,69,(0.11756034509785311+0.011228356990635045j)
247,122x122,14884,5978,2,2,49.0,49.0,49,63,(0.12719683455613873+0.019046072288947124j)
248,122x122,14884,5246,2,2,43.0,43.0,43,55,(0.15827836652147578+0.008386409261551169j)
249,122x122,14884,4514,2,2,37.0,37.0,37,50,(0.1613646304238083+0j)
250,123x123,15129,11439,2,2,93.0,93.0,93,103,(0.07657354975243189+0.01747503761213029j)
251,123x123,15129,10701,2,2,87.0,87.0,87,97,(0.07988725978090874+0j)
252,123x123,15129,9840,2,2,80.0,80.0,80,96,(0.08623891377629658+0j)
253,123x123,15129,9102,2,2,74.0,74.0,74,89,(0.09412947287725286+0.0089669782756112j)
254,123x123,15129,8364,2,2,68.0,68.0,68,83,(0.103674225969661+0j)
255,123x123,15129,7626,2,2,62.0,62.0,62,77,(0.1001665283795545+0.021701874868182307j)
256,123x123,15129,6888,2,2,56.0,56.0,56,68,(0.12408021765704685+0j)
257,123x123,15129,6150,2,2,50.0,50.0,50,61,(0.12837234500444075+0j)
258,123x123,15129,5412,2,2,44.0,44.0,44,59,(0.13812582655894112+0.04255069547329487j)
259,123x123,15129,4551,2,2,37.0,37.0,37,52,(0.15386187936552542+0.016961574149640262j)
260,124x124,15376,11532,2,2,93.0,93.0,93,103,(0.08007001390337638+0j)
261,124x124,15376,10788,2,2,87.0,87.0,87,97,(0.09041704873196002+0.023348969131592845j)
262,124x124,15376,10044,2,2,81.0,81.0,81,92,(0.08704615957606218+0.01979254048816391j)
263,124x124,15376,9300,2,2,75.0,75.0,75,89,(0.09360287063137301+0.005767612526258097j)
264,124x124,15376,8556,2,2,69.0,69.0,69,83,(0.09888127405501893+0.020558478196653986j)
265,124x124,15376,7812,2,2,63.0,63.0,63,82,(0.10720002008372323+0.0249421322005129j)
266,124x124,15376,6944,2,2,56.0,56.0,56,69,(0.13319146215910094+0.031093088617493835j)
267,124x124,15376,6200,2,2,50.0,50.0,50,62,(0.13903914834057646+0j)
268,124x124,15376,5456,2,2,44.0,44.0,44,60,(0.14300859767727753+0j)
269,124x124,15376,4712,2,2,38.0,38.0,38,53,(0.15102649059915335+0.022741798488636684j)
270,125x125,15625,11750,2,2,94.0,94.0,94,104,(0.07382035054453355+0j)
271,125x125,15625,11000,2,2,88.0,88.0,88,99,(0.07736671728802444+0.024989426067248008j)
272,125x125,15625,10250,2,2,82.0,82.0,82,93,(0.09557132181823177+0j)
273,125x125,15625,9500,2,2,76.0,76.0,76,90,(0.09449871015345487+0.013446100769168993j)
274,125x125,15625,8625,2,2,69.0,69.0,69,87,(0.11090373718485241+0j)
275,125x125,15625,7875,2,2,63.0,63.0,63,76,(0.10862194167517757+0j)
276,125x125,15625,7125,2,2,57.0,57.0,57,75,(0.12029710471237642+0j)
277,125x125,15625,6250,2,2,50.0,50.0,50,66,(0.13432386192069673+0.0075135681460468725j)
278,125x125,15625,5500,2,2,44.0,44.0,44,54,(0.1441815327259857+0.02755571426410218j)
279,125x125,15625,4750,2,2,38.0,38.0,38,51,(0.17400579464176288+0j)
280,126x126,15876,11970,2,2,95.0,95.0,95,107,(0.08114931150771744+0j)
281,126x126,15876,11214,2,2,89.0,89.0,89,102,(0.08316112298026951+0.012806944328061872j)
282,126x126,15876,10332,2,2,82.0,82.0,82,92,(0.0975186879942311+0j)
283,126x126,15876,9576,2,2,76.0,76.0,76,89,(0.09432692336192083+0.0071627096191769005j)
284,126x126,15876,8820,2,2,70.0,70.0,70,91,(0.09720298878066244+0.001844845122336213j)
285,126x126,15876,8064,2,2,64.0,64.0,64,79,(0.10292497040253343+0j)
286,126x126,15876,7182,2,2,57.0,57.0,57,70,(0.12136332787209955+0j)
287,126x126,15876,6426,2,2,51.0,51.0,51,62,(0.1386429910772497+0.023315434328069595j)
288,126x126,15876,5670,2,2,45.0,45.0,45,60,(0.14363051026642792+0.015208287962514626j)
289,126x126,15876,4788,2,2,38.0,38.0,38,48,(0.1718906899190042+0j)
290,127x127,16129,12192,2,2,96.0,96.0,96,108,(0.07144230246865797+0.02343524751144084j)
291,127x127,16129,11303,2,2,89.0,89.0,89,101,(0.08417755004874419+0j)
292,127x127,16129,10541,2,2,83.0,83.0,83,95,(0.0844870652474598+0.0030453369631315928j)
293,127x127,16129,9779,2,2,77.0,77.0,77,89,(0.09955575492621144+0j)
294,127x127,16129,8890,2,2,70.0,70.0,70,85,(0.11199353238894019+0.020417472670454906j)
295,127x127,16129,8128,2,2,64.0,64.0,64,82,(0.11493268291160758+0.012568933231592546j)
296,127x127,16129,7366,2,2,58.0,58.0,58,72,(0.1175834073432543+0j)
297,127x127,16129,6477,2,2,51.0,51.0,51,70,(0.12959171923947838+0.0014140420987039386j)
298,127x127,16129,5715,2,2,45.0,45.0,45,61,(0.14536354619842173+0.03615226700080873j)
299,127x127,16129,4953,2,2,39.0,39.0,39,52,(0.15855084572491926+0.005231026427685442j)
300,128x128,16384,12288,2,2,96.0,96.0,96,110,(0.0763149006733918+0.01241257411819134j)
301,128x128,16384,11520,2,2,90.0,90.0,90,104,(0.08327724326707912+0j)
302,128x128,16384,10752,2,2,84.0,84.0,84,97,(0.08842250381101573+0.0012297137166532475j)
303,128x128,16384,9856,2,2,77.0,77.0,77,94,(0.09176868092050844+0.004756289942532631j)
304,128x128,16384,9088,2,2,71.0,71.0,71,88,(0.09509718963147261+0j)
